no	title	filename	chars
1	현대카드 개인회원 약관	현대카드 개인회원 약관.txt	40254
2	온라인서비스 회원약관	온라인서비스 회원약관.txt	8068
3	전자상거래(인터넷사이버몰) 약관	전자상거래(인터넷사이버몰) 약관.txt	8825
4	체크카드 개인회원 약관	체크카드 개인회원 약관.txt	1688
5	여신금융회사 표준 여신거래기본약관	여신금융회사 표준 여신거래기본약관.txt	19765
6	신용카드 가맹점 표준약관	신용카드 가맹점 표준약관.txt	20796
7	포인트 결제전환 이용약관	포인트 결제전환 이용약관.txt	5387
8	현대카드 세이브(포인트 연계 할부서비스) 이용 약관	현대카드 세이브(포인트 연계 할부서비스) 이용 약관.txt	6466
9	통신 세이브 서비스 이용약관	통신 세이브 서비스 이용약관.txt	114
10	휴대폰 인증 약관	휴대폰 인증 약관.txt	51263
11	선불카드 표준약관	선불카드 표준약관.txt	10747
12	가상카드번호서비스 약관	가상카드번호서비스 약관.txt	5877
13	PIN번호 결제서비스 이용약관	PIN번호 결제서비스 이용약관.txt	6976
14	일반결제 서비스 이용약관	일반결제 서비스 이용약관.txt	5335
15	간편결제 서비스 이용약관	간편결제 서비스 이용약관.txt	60
16	원클릭 간편결제 서비스 이용약관	원클릭 간편결제 서비스 이용약관.txt	72
17	앱카드(간편결제) 서비스 이용약관	앱카드(간편결제) 서비스 이용약관.txt	8441
18	전자금융거래 기본 약관	전자금융거래 기본 약관.txt	11715
19	휴대폰 메시지 표준약관	휴대폰 메시지 표준약관.txt	6281
20	세이브-오토(선지급 포인트 서비스) 약관	세이브-오토(선지급 포인트 서비스) 약관.txt	3904
21	현대카드 본인확인서비스 이용약관	현대카드 본인확인서비스 이용약관.txt	8966
22	현대카드 신용대출 약관	현대카드 신용대출 약관.txt	3018
23	현대카드 사업자대출 약관	현대카드 사업자대출 약관.txt	3715
24	현대카드 자동차담보대출 약관	현대카드 자동차담보대출 약관.txt	3927
25	현대카드 삼성페이용 앱카드 결제 이용 약관	현대카드 삼성페이용 앱카드 결제 이용 약관.txt	9248
26	삼성페이 웨어러블(Wearable)용 앱카드 결제 이용 약관	삼성페이 웨어러블(Wearable)용 앱카드 결제 이용 약관.txt	8106
27	현대카드 원스탑 솔루션 플랫폼 서비스 이용 약관	현대카드 원스탑 솔루션 플랫폼 서비스 이용 약관.txt	11032
28	3층 Biz Partners 서비스 이용약관	3층 Biz Partners 서비스 이용약관.txt	6681
29	현대카드 TV 간편결제서비스 이용약관	현대카드 TV 간편결제서비스 이용약관.txt	5621
30	카드이동서비스 이용약관	카드이동서비스 이용약관.txt	1283
31	블루 세이브-오토(선지급 포인트 서비스) 약관	블루 세이브-오토(선지급 포인트 서비스) 약관.txt	5539
32	마일리지 긴급적립(선지급 포인트 서비스)이용 약관	마일리지 긴급적립(선지급 포인트 서비스)이용 약관.txt	6600
33	내 자산 서비스 이용 약관	내 자산 서비스 이용 약관.txt	10574
34	오픈뱅킹서비스 이용약관	오픈뱅킹서비스 이용약관.txt	5701
35	계좌통합관리서비스(내 카드 한눈에) 이용약관	계좌통합관리서비스(내 카드 한눈에) 이용약관.txt	3620
36	현대카드 월세 납부대행 서비스 이용약관	현대카드 월세 납부대행 서비스 이용약관.txt	12484
37	오픈뱅킹공동업무 금융정보조회 약관	오픈뱅킹공동업무 금융정보조회 약관.txt	2693
38	Apple Pay 현대카드 결제 이용 약관	Apple Pay 현대카드 결제 이용 약관.txt	10489
39	대환대출 서비스 이용약관	대환대출 서비스 이용약관.txt	4095
40	더블마일팩 이용약관	더블마일팩 이용약관.txt	6591
41	이마트 가전 세이브(선지급 포인트 서비스) 이용 약관	이마트 가전 세이브(선지급 포인트 서비스) 이용 약관.txt	4501
42	M 긴급적립(선지급 포인트 서비스) 이용 약관	M 긴급적립(선지급 포인트 서비스) 이용 약관.txt	5492
43	긴급할인(선지급 포인트 서비스) 이용 약관	긴급할인(선지급 포인트 서비스) 이용 약관.txt	5604
44	코스트코 리워드 +5% 적립팩 이용 약관	코스트코 리워드 +5% 적립팩 이용 약관.txt	5771
45	스마일캐시 +5% 적립팩 이용 약관	스마일캐시 +5% 적립팩 이용 약관.txt	5625
46	마일리지 긴급적립 Edition2(선지급 포인트 서비스) 이용 약관	마일리지 긴급적립 Edition2(선지급 포인트 서비스) 이용 약관.txt	8472
47	M+5%적립팩 이용약관	M+5%적립팩 이용약관.txt	5739
48	ZERO +5% 적립팩 이용 약관	ZERO +5% 적립팩 이용 약관.txt	5548
49	ZERO +5% 할인팩 이용 약관	ZERO +5% 할인팩 이용 약관.txt	5565
50	NOL 포인트 긴급적립 (선지급 포인트 서비스) 이용 약관	NOL 포인트 긴급적립 (선지급 포인트 서비스) 이용 약관.txt	6967
51	위치기반 서비스 이용 약관	위치기반 서비스 이용 약관.txt	4166
52	코스트코 리워드 긴급적립(선지급 포인트) 서비스 이용 약관	코스트코 리워드 긴급적립(선지급 포인트) 서비스 이용 약관.txt	8127
53	블루멤버스 포인트 +5% 적립팩 이용 약관	블루멤버스 포인트 +5% 적립팩 이용 약관.txt	6627
54	기아 M포인트 +5% 적립팩 이용 약관	기아 M포인트 +5% 적립팩 이용 약관.txt	5730
